Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-08-18,1917,2019,https://boxd.it/38N4XP,5,,,2020-01-01
2022-08-18,The Lighthouse,2019,https://boxd.it/38NdiL,5,,,2022-08-17
2022-08-18,Good Boys,2019,https://boxd.it/38NdAl,3,,,2022-08-17
2022-08-18,Zombieland,2009,https://boxd.it/38NdMV,4,,,2022-08-17
2022-08-18,The Witch,2015,https://boxd.it/38NdTn,5,,,2022-08-17
2022-08-18,Zombieland: Double Tap,2019,https://boxd.it/38Ne3R,2,,,2022-08-17
2022-08-18,The Irishman,2019,https://boxd.it/38Nebh,4,,,2022-08-17
2022-08-18,Searching,2018,https://boxd.it/38Netb,4.5,,,2022-08-17
2022-08-18,Casino Royale,2006,https://boxd.it/38NeCd,3.5,,,2022-08-17
2022-08-18,Skyfall,2012,https://boxd.it/38NeJ9,3.5,,,2022-08-17
2022-08-18,Good Time,2017,https://boxd.it/38NfyV,5,,,2022-08-17
2022-08-18,American Psycho,2000,https://boxd.it/38NfGZ,4.5,,,2022-08-17
2022-08-18,The Machinist,2004,https://boxd.it/38Ng4n,4.5,,,2022-08-17
2022-08-18,Limitless,2011,https://boxd.it/38Ng9H,4.5,,,2022-08-17
2022-08-18,Her,2013,https://boxd.it/38Nggj,3.5,,,2022-08-17
2022-08-18,The Spectacular Now,2013,https://boxd.it/38NglD,2,,,2022-08-17
2022-08-18,Dunkirk,2017,https://boxd.it/38Ngs5,5,,,2022-08-17
2022-08-18,Gladiator,2000,https://boxd.it/38Ngwh,4,,,2022-08-17
2022-08-18,Jojo Rabbit,2019,https://boxd.it/38Nk6d,5,,,2022-08-17
2022-08-18,A Star Is Born,2018,https://boxd.it/38NkcF,4,,,2022-08-17
2022-08-18,Booksmart,2019,https://boxd.it/38Nkj7,4,,,2022-08-17
2022-08-18,Ride Along,2014,https://boxd.it/38NkmP,3,,,2022-08-17
2022-08-18,End of Watch,2012,https://boxd.it/38NktB,3.5,,,2022-08-17
2022-08-18,Doctor Sleep,2019,https://boxd.it/38NkGF,2,,,2022-08-17
2022-08-18,The Matrix,1999,https://boxd.it/38NkOz,3.5,,,2022-08-17
2022-08-18,Reservoir Dogs,1992,https://boxd.it/38NkTp,5,,,2022-08-17
2022-08-18,The Hateful Eight,2015,https://boxd.it/38NkYf,5,,,2022-08-17
2022-08-18,Jackie Brown,1997,https://boxd.it/38NlvX,3,,,2022-08-17
2022-08-18,Blade Runner 2049,2017,https://boxd.it/38NlB7,4,,,2022-08-17
